_id,ags2,ags5,kreis,number_accomodation_establishments,number_of_beds,number_of_guests,guests_staying_overnight
136,6,6611,Kreisfreie Stadt Kassel,76,7000,533093,930854
137,6,6631,Fulda,275,15089,803195,1719041
138,6,6632,Hersfeld-Rotenburg,108,10328,383617,1156969
139,6,6633,Kassel,147,12219,306125,738723
140,6,6634,Schwalm-Eder,137,8280,236011,659044
141,6,6635,Waldeck-Frankenberg,388,26374,851662,3312333
142,6,6636,Werra-Meißner,116,7577,170899,714660
143,7,7111,Stadt Koblenz,50,3886,360612,697924
144,7,7131,Ahrweiler,202,10061,539460,1357405
145,7,7132,Altenkirchen (Ww),43,2190,91848,226120
146,7,7133,Bad Kreuznach,107,5878,255544,961220
147,7,7134,Birkenfeld,55,3232,98007,292132
148,7,7135,Cochem-Zell,298,12910,522774,1648419
149,7,7137,Mayen-Koblenz,159,6170,350121,772057
150,7,7138,Neuwied,89,3104,156291,318795
151,7,7140,Rhein-Hunsrück-Kreis,134,5605,364093,775404
152,7,7141,Rhein-Lahn-Kreis,120,5281,246422,750928
153,7,7143,Westerwaldkreis,76,4456,306906,733656
154,7,7211,Stadt Trier,61,5010,461377,830892
155,7,7231,Bernkastel-Wittlich,359,12247,516671,1654418
156,7,7232,Eifelkreis Bitburg-Prüm,149,6484,231140,571466
157,7,7233,Vulkaneifel,122,9138,390504,1416794
158,7,7235,Trier-Saarburg,195,8974,330258,1062808
159,7,7311,Stadt Frankenthal (Pfalz),6,625,52783,94507
160,7,7312,Stadt Kaiserslautern,28,-99,-99,-99
161,7,7313,Stadt Landau in der Pfalz,17,743,56011,106040
162,7,7314,Stadt Ludwigshafen a. Rh.,22,-99,-99,-99
163,7,7315,Stadt Mainz,41,5472,600073,906699
164,7,7316,Stadt Neustadt a.d. W.,25,1297,102819,208187
165,7,7317,Stadt Pirmasens,7,372,27856,-99
166,7,7318,Stadt Speyer,19,1410,155565,262922
167,7,7319,Stadt Worms,25,1056,74586,155009
168,7,7320,Stadt Zweibrücken,5,284,-99,39836
169,7,7331,Alzey-Worms,62,1622,87612,-99
170,7,7332,Bad Dürkheim,134,5316,343453,840400
171,7,7333,Donnersbergkreis,32,1300,68890,139201
172,7,7334,Germersheim,47,1358,61655,162143
173,7,7335,Kaiserslautern,51,2144,90535,262707
174,7,7336,Kusel,23,802,37888,85776
175,7,7337,Südliche Weinstraße,187,5840,315227,794962
176,7,7338,Rhein-Pfalz-Kreis,23,-99,-99,-99
177,7,7339,Mainz-Bingen,105,3879,237751,439595
178,7,7340,Südwestpfalz,96,2961,137341,325983
179,8,8111,Stuttgart,171,21494,2062673,3911781
180,8,8115,Böblingen,117,7984,499294,1164705
181,8,8116,Esslingen,174,10572,819398,1621975
182,8,8117,Göppingen,94,4607,230854,589685
183,8,8118,Ludwigsburg,150,7604,515486,1091443
184,8,8119,Rems-Murr-Kreis,120,6487,350663,717758
185,8,8121,Heilbronn,27,1871,174884,338296
186,8,8125,Heilbronn,170,9972,407824,1374720
187,8,8126,Hohenlohekreis,82,4523,208595,433299
188,8,8127,Schwäbisch Hall,129,5579,277719,594063
189,8,8128,Main-Tauber-Kreis,131,10099,358976,1089886
190,8,8135,Heidenheim,45,1862,126029,224737
191,8,8136,Ostalbkreis,149,9147,394031,835913
192,8,8211,Baden-Baden,87,5286,452982,1007739
193,8,8212,Karlsruhe,61,6287,658668,1139836
194,8,8215,Karlsruhe,123,7764,401617,1034044
195,8,8216,Rastatt,132,6720,289301,614749
196,8,8221,Heidelberg,84,7998,794339,1552834
197,8,8222,Mannheim,62,7795,673571,1469030
198,8,8225,Neckar-Odenwald-Kreis,101,5993,161690,517043
199,8,8226,Rhein-Neckar-Kreis,177,12297,799161,1496505
200,8,8231,Pforzheim,22,1692,120650,243273
201,8,8235,Calw,198,13060,445259,1379113
202,8,8236,Enzkreis,57,2287,123976,236264
203,8,8237,Freudenstadt,216,11344,520602,1699450
204,8,8311,Freiburg im Breisgau,83,9613,881280,1708237
205,8,8315,Breisgau-Hochschwarzwald,616,35426,1412900,4871743
206,8,8316,Emmendingen,135,5563,276066,654813
207,8,8317,Ortenaukreis,527,29633,1799732,3837941
208,8,8325,Rottweil,77,3440,133928,326068
209,8,8326,Schwarzwald-Baar-Kreis,203,13441,482085,1659198
210,8,8327,Tuttlingen,67,2965,140576,307718
211,8,8335,Konstanz,226,19326,949232,2649744
212,8,8336,Lörrach,244,11305,536193,1290022
213,8,8337,Waldshut,282,11684,386153,1319751
214,8,8415,Reutlingen,147,9707,437271,1177832
215,8,8416,Tübingen,72,3175,216422,434483
216,8,8417,Zollernalbkreis,82,3872,148339,348789
217,8,8421,Ulm,50,4153,442326,688782
218,8,8425,Alb-Donau-Kreis,104,5201,275874,547487
219,8,8426,Biberach,90,5889,252688,799272
220,8,8435,Bodenseekreis,430,26968,1108528,3311887
221,8,8436,Ravensburg,161,10651,479313,1947743
222,8,8437,Sigmaringen,98,6975,204441,620260
223,9,9161,Ingolstadt,46,3493,332813,560022
224,9,9162,München,446,77505,8265994,17124486
225,9,9163,Rosenheim,21,1236,143307,227469
226,9,9171,Altötting,59,2286,131731,288834
227,9,9172,Berchtesgadener Land,490,16780,772136,2962304
228,9,9173,Bad Tölz-Wolfratshausen,230,8243,398474,1222255
229,9,9174,Dachau,55,2465,150965,358043
230,9,9175,Ebersberg,58,2798,211292,438610
231,9,9176,Eichstätt,133,5455,458726,889480
232,9,9177,Erding,77,6684,878834,1315380
233,9,9178,Freising,82,5842,668169,1015029
234,9,9179,Fürstenfeldbruck,48,2122,140558,309734
235,9,9180,Garmisch-Partenkirchen,516,19220,1192002,3544760
236,9,9181,Landsberg am Lech,41,1660,121932,276697
237,9,9182,Miesbach,384,14594,751918,2326373
238,9,9183,Mühldorf a.Inn,45,1532,89035,190835
239,9,9184,München,162,14857,1316342,2473258
240,9,9185,Neuburg-Schrobenhausen,43,1225,68572,161455
241,9,9186,Pfaffenhofen a.d.Ilm,51,2155,155307,295912
242,9,9187,Rosenheim,345,14119,799895,2539836
243,9,9188,Starnberg,88,4925,300718,768275
244,9,9189,Traunstein,584,17568,762965,2961008
245,9,9190,Weilheim-Schongau,75,3339,178499,597874
246,9,9261,Landshut,22,1600,119580,235120
247,9,9262,Passau,42,3103,331264,573855
248,9,9263,Straubing,20,1046,83373,159663
249,9,9271,Deggendorf,71,2829,172345,417538
250,9,9272,Freyung-Grafenau,244,10694,320908,1410465
251,9,9273,Kelheim,121,5259,292810,923456
252,9,9274,Landshut,65,2261,115116,241380
253,9,9275,Passau,482,24445,843019,4300462
254,9,9276,Regen,439,15391,508498,2131080
255,9,9277,Rottal-Inn,97,4399,200631,921534
256,9,9278,Straubing-Bogen,108,4336,196569,646442
257,9,9279,Dingolfing-Landau,38,1305,65927,158316
258,9,9361,Amberg,11,605,43845,87954
259,9,9362,Regensburg,74,6125,626210,1100392
260,9,9363,Weiden i.d.OPf.,11,551,42833,78109
261,9,9371,Amberg-Sulzbach,79,2620,125848,305237
262,9,9372,Cham,274,13608,480059,1910761
263,9,9373,Neumarkt i.d.OPf.,75,3238,230342,430263
264,9,9374,Neustadt a.d.Waldnaab,98,2520,119539,270828
265,9,9375,Regensburg,77,2878,195118,429666
266,9,9376,Schwandorf,100,3115,148366,385997
267,9,9377,Tirschenreuth,104,3259,119294,395406
268,9,9461,Bamberg,57,3572,394333,708202
269,9,9462,Bayreuth,27,2139,191823,402209
270,9,9463,Coburg,17,966,72069,135618
271,9,9464,Hof,21,1163,88343,148554
272,9,9471,Bamberg,82,3237,217783,409397
273,9,9472,Bayreuth,179,5575,261223,758637
274,9,9473,Coburg,45,1911,80430,312768
275,9,9474,Forchheim,118,3605,159391,374689
276,9,9475,Hof,78,2738,127144,498315
277,9,9476,Kronach,44,1398,71000,180429
278,9,9477,Kulmbach,58,2007,116368,229864
279,9,9478,Lichtenfels,84,3587,194301,636558
280,9,9479,Wunsiedel i.Fichtelgebirge,60,2520,145363,378571
281,9,9561,Ansbach,15,634,40027,105364
282,9,9562,Erlangen,47,2963,258203,506917
283,9,9563,Fürth,23,1989,151887,322318
284,9,9564,Nürnberg,153,18711,2001217,3610613
285,9,9565,Schwabach,8,516,51187,83983
286,9,9571,Ansbach,241,8729,728791,1302829
287,9,9572,Erlangen-Höchstadt,54,2896,179325,454969
288,9,9573,Fürth,41,1433,118524,224969
289,9,9574,Nürnberger Land,76,3103,199712,400742
290,9,9575,Neustadt a.d.Aisch-Bad Windsheim,101,3864,193628,624032
291,9,9576,Roth,84,2505,196099,363968
292,9,9577,Weißenburg-Gunzenhausen,129,3639,249428,820213
293,9,9661,Aschaffenburg,13,1042,100673,196083
294,9,9662,Schweinfurt,23,1537,123506,233793
295,9,9663,Würzburg,53,4598,614024,965700
296,9,9671,Aschaffenburg,98,3768,279724,512994
297,9,9672,Bad Kissingen,143,10117,435481,2195915
298,9,9673,Rhön-Grabfeld,104,5139,242601,822811
299,9,9674,Haßberge,70,1978,116856,228606
300,9,9675,Kitzingen,126,3987,405882,749093
301,9,9676,Miltenberg,78,2307,158205,299537
302,9,9677,Main-Spessart,109,3449,243146,530671
303,9,9678,Schweinfurt,39,1119,54736,113787
304,9,9679,Würzburg,91,2992,256840,476700
305,9,9761,Augsburg,47,4638,478115,855121
306,9,9762,Kaufbeuren,8,497,49563,89787
307,9,9763,Kempten (Allgäu),21,1517,187609,326587
308,9,9764,Memmingen,22,1009,111396,188981
309,9,9771,Aichach-Friedberg,46,1610,124216,224400
310,9,9772,Augsburg,62,3037,224591,407590
311,9,9773,Dillingen a.d.Donau,29,1466,90161,233410
312,9,9774,Günzburg,86,5359,566168,972677
313,9,9775,Neu-Ulm,62,3185,290778,495415
314,9,9776,Lindau (Bodensee),254,10155,567593,2033041
315,9,9777,Ostallgäu,470,16714,1187008,3470373
316,9,9778,Unterallgäu,130,6186,310896,1107995
317,9,9779,Donau-Ries,78,2957,178388,382436
318,9,9780,Oberallgäu,1099,36233,1559808,6230034
319,10,10041,Regionalverband Saarbrücken,56,3924,353760,617545
320,10,10042,Landkreis Merzig-Wadern,64,5668,187756,630651
321,10,10043,Landkreis Neunkirchen,22,1208,53934,235407
322,10,10044,Landkreis Saarlouis,48,2915,101990,276095
323,10,10045,Saarpfalz-Kreis,42,3302,110697,402459
324,10,10046,Landkreis St. Wendel,35,7261,265728,996398
325,11,11000,Berlin,798,146742,13502552,32871634
326,12,12051,Brandenburg an der Havel,46,1854,97694,235723
327,12,12052,Cottbus,21,1790,146108,266552
328,12,12053,Frankfurt (Oder),19,839,59536,138641
329,12,12054,Potsdam,58,6086,550173,1277928
330,12,12060,Barnim,91,6175,261933,905925
331,12,12061,Dahme-Spreewald,169,10128,840874,1813163
332,12,12062,Elbe-Elster,60,1830,58645,238070
333,12,12063,Havelland,68,2198,121081,259953
334,12,12064,Märkisch-Oderland,101,4696,200149,767318
335,12,12065,Oberhavel,106,3878,227295,496843
336,12,12066,Oberspreewald-Lausitz,96,4384,272848,765615
337,12,12067,Oder-Spree,131,9090,437844,1332397
338,12,12068,Ostprignitz-Ruppin,124,6621,332376,1083625
339,12,12069,Potsdam-Mittelmark,142,7625,448660,1311098
340,12,12070,Prignitz,79,2687,126828,275513
341,12,12071,Spree-Neiße,114,4713,273165,789362
342,12,12072,Teltow-Fläming,96,4422,260118,576450
343,12,12073,Uckermark,142,6569,339803,1012548
344,13,13003,"Rostock, Hansestadt",113,14958,818282,2139097
345,13,13004,"Schwerin, Landeshauptstadt",47,2748,209079,362429
346,13,13071,Mecklenburgische Seenplatte,408,44850,1050403,3639281
347,13,13072,Landkreis Rostock,359,35919,1151835,5022830
348,13,13073,Vorpommern-Rügen,925,91770,2229504,10024917
349,13,13074,Nordwestmecklenburg,195,21080,643147,2335845
350,13,13075,Vorpommern-Greifswald,563,53093,1392886,6228820
351,13,13076,Ludwigslust-Parchim,185,14246,379063,1131080
352,14,14511,Chemnitz,44,3506,267116,520996
353,14,14521,Erzgebirgskreis,274,12761,611082,1889450
354,14,14522,Mittelsachsen,160,6074,292258,648680
355,14,14523,Vogtlandkreis,152,8162,348893,1443185
356,14,14524,Zwickau,86,4627,249467,514743
357,14,14612,Dresden,184,23024,2247007,4604408
358,14,14625,Bautzen,161,5460,276778,749466
359,14,14626,Görlitz,212,9250,440782,1144285
360,14,14627,Meißen,138,5837,346604,756743
361,14,14628,Sächsische Schweiz-Osterzgebirge,338,16501,751778,2790744
362,14,14713,Leipzig,133,17686,1836797,3376257
363,14,14729,Leipzig,107,5321,238426,871799
364,14,14730,Nordsachsen,96,4771,271825,776001
365,15,15001,Dessau-Roßlau,26,1470,122642,202806
366,15,15002,Halle (Saale),41,2855,254159,429592
367,15,15003,Magdeburg,51,5661,405777,692213
368,15,15081,Altmarkkreis Salzwedel,53,4069,98342,351575
369,15,15082,Anhalt-Bitterfeld,59,3739,120324,240435
370,15,15083,Börde,55,5078,173334,449806
371,15,15084,Burgenlandkreis,116,6463,260715,727353
372,15,15085,Harz,344,21763,1003185,2791372
373,15,15086,Jerichower Land,44,2484,80721,155273
374,15,15087,Mansfeld-Südharz,70,3800,167668,368063
375,15,15088,Saalekreis,66,4338,223790,422542
376,15,15089,Salzlandkreis,69,3881,138316,431731
377,15,15090,Stendal,58,3328,142354,267370
378,15,15091,Wittenberg,84,6950,241359,704767
379,16,16051,Erfurt,66,5438,504212,879168
380,16,16052,Gera,15,1201,104524,172107
381,16,16053,Jena,28,2124,198505,334627
382,16,16054,Suhl,18,1815,91087,233175
383,16,16055,Weimar,46,4383,394516,743331
384,16,16056,Eisenach,30,2064,201388,336530
385,16,16061,Eichsfeld,48,2304,116130,330929
386,16,16062,Nordhausen,34,1785,79623,187366
387,16,16063,Wartburgkreis,91,4264,135088,775418
388,16,16064,Unstrut-Hainich-Kreis,46,2414,119606,407851
389,16,16065,Kyffhäuserkreis,42,2605,106940,357293
390,16,16066,Schmalkalden-Meiningen,118,5430,266952,620854
391,16,16067,Gotha,98,6098,334024,942050
392,16,16068,Sömmerda,19,677,28815,63209
393,16,16069,Hildburghausen,62,2883,94846,369756
394,16,16070,Ilm-Kreis,87,3418,156608,365902
395,16,16071,Weimarer Land,49,3291,167374,551760
396,16,16072,Sonneberg,40,1430,58099,183976
397,16,16073,Saalfeld-Rudolstadt,96,4128,160280,446439
398,16,16074,Saale-Holzland-Kreis,46,2082,99598,349616
399,16,16075,Saale-Orla-Kreis,67,2850,100450,328509
400,16,16076,Greiz,36,1545,65812,137514
401,16,16077,Altenburger Land,25,949,43698,96785
